"C/C++ Source","Go to Matching Bracket","Shift+Ctrl+P","C/C++ Editor"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"C/C++ Source","Toggle Source/Header","Ctrl+Tab","C/C++ Editor"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Text Editing","Move Lines Down","Alt+Down","Embedded Xtext Editor context"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Spy","Plug-in Menu Spy","Shift+Alt+F2","In Dialogs and Windows"
"C/C++ Source","References","Shift+Ctrl+G","In C/C++ Views"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Navigate","Open Declaration","F3","Editing Xtext Source"
"Edit","Content Assist","Alt+/","In Dialogs and Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing in Structured Text Editors"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Task Repositories","Mark Task Incomplete","Shift+Alt+I","In Tasks Editor"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Navigate","Forward History","Alt+Right","In Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Uncategorized","Add Artifact to Target Platform","Shift+Ctrl+Alt+A","In Windows"
"Makefile Source","Uncomment","Ctrl+\","Makefile Editor"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Source","Quick Assist - Extract method","Ctrl+2 M","Editing Java Source"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"Uncategorized","Insert left guillemet","Ctrl+<","Editing Xtend Source"
"Edit","Context Information","Alt+?","In Windows"
"Refactoring","Rename Element","Shift+Alt+R","Editing Xtext Source"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"C/C++ Source","Format","Shift+Ctrl+F","C/C++ Editor"
"Navigate","Previous","Ctrl+,","In Windows"
"Edit","Toggle Block Selection","Shift+Alt+A","Embedded Xtext Editor context"
"Uncategorized","Extract Local Variable","Shift+Alt+L","Editing Xtext Source"
"C/C++ Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"C/C++ Source","Organize Includes","Shift+Ctrl+O","C/C++ Editor"
"C/C++ Source","References","Shift+Ctrl+G","C/C++ Editor"
"Edit","Restore Last C/C++ Selection","Shift+Alt+Down","C/C++ Editor"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing in Structured Text Editors"
"File","Refresh","F5","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Run/Debug","Go to Address...","Ctrl+G","In Disassembly"
"Project","Make Target Build","Shift+F9","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Editing","Toggle Comment","Shift+Ctrl+C","Editing Xtext Source"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Edit","Find Previous","Shift+Ctrl+K","Embedded Xtext Editor context"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"File","Close All","Shift+Ctrl+F4","In Windows"
"C/C++ Source","Toggle Mark Occurrences","Shift+Alt+O","C/C++ Editor"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"C/C++ Source","Surround With Quick Menu","Shift+Alt+Z","C/C++ Editor"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Window","Show Ruler Context Menu","Ctrl+F10","Embedded Xtext Editor context"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"Text Editing","To Upper Case","Shift+Ctrl+X","Embedded Xtext Editor context"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Embedded Xtext Editor context"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Refactor - C++","Extract Local Variable - Refactoring ","Shift+Alt+L","C/C++ Editor"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"File","Rename","F2","In Windows"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Text Editing","Line Start","Home","Embedded Xtext Editor context"
"Editing","Go to Matching Bracket","Shift+Ctrl+P","Editing Xtext Source"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Xtext Source"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Edit","Delete","Delete","In Windows"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"C/C++ Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Shift+Alt+Up","In Tasks View"
"Run/Debug","Step Over","F6","Debugging"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Navigate","Deactivate Task","Shift+Ctrl+F9","In Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Edit","Word Completion","Ctrl+Alt+/","Editing Text"
"Edit","Remove Block Comment","Shift+Ctrl+\","Editing in Structured Text Editors"
"Uncategorized","Insert right guillemet","Ctrl+>","Editing Xtend Source"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"Text Editing","Text Start","Ctrl+Home","Embedded Xtext Editor context"
"Uncategorized","Extract Method","Shift+Alt+M","Editing Xtext Source"
"Navigate","Open Plug-in Artifact","Shift+Ctrl+A","In Windows"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"Uncategorized","Open Call Hierarchy","Ctrl+Alt+H","Editing Xtext Source"
"Navigate","Next","Ctrl+.","In Windows"
"C/C++ Source","Back","Alt+Left","In Macro Expansion Hover"
"File","Close All","Shift+Ctrl+W","In Windows"
"C/C++ Source","Remove Block Comment","Shift+Ctrl+\","C/C++ Editor"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"C/C++ Source","Go to Previous Member","Shift+Ctrl+Up","C/C++ Editor"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks View"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"C/C++ Source","Open Element","Shift+Ctrl+T","In C/C++ Views"
"Run/Debug","Run Eclipse Application","Shift+Alt+X E","In Windows"
"Edit","Select Previous C/C++ Element","Shift+Alt+Left","C/C++ Editor"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Embedded Xtext Editor context"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Text Editing","Move Lines Up","Alt+Up","Embedded Xtext Editor context"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Edit","Select Enclosing C/C++ Element","Shift+Alt+Up","C/C++ Editor"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Android Refactorings","Extract Android String","Shift+Alt+A S","In Windows"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Views","Show View (Javadoc)","Shift+Alt+Q J","In Windows"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Reverse Debugging Commands","Reverse Step Over","Shift+F6","Debugging C/C++"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"File","New menu","Shift+Alt+N","In Windows"
"C/C++ Source","Open Element","Shift+Ctrl+T","C/C++ Editor"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Refactor - C++","Extract Function - Refactoring ","Shift+Alt+M","C/C++ Editor"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Edit","Context Information","Shift+Alt+?","In Windows"
"Edit","Select Next C/C++ Element","Shift+Alt+Right","C/C++ Editor"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","Editing Xtend Source"
"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Navigate","Open Remote Task","Shift+Ctrl+Alt+F12","In Windows"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","Editing Xtend Source"
"Run/Debug","Go to Program Counter","Home","In Disassembly"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Text Editing","Show Tooltip Description","F2","Embedded Xtext Editor context"
"File","Close","Ctrl+F4","In Windows"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Navigate","Open Manifest","Shift+Ctrl+Alt+M","In Windows"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks View"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Editing","Format","Shift+Ctrl+F","Editing Xtext Source"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Refactor - C++","Toggle Function - Refactoring ","Shift+Alt+T","C/C++ Editor"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","Editing Xtend Source"
"Focused UI","Focus on Active Task","Shift+Alt+H","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Window","Open Model Element","Shift+Ctrl+F3","In Windows"
"Navigate","Find References","Shift+Ctrl+G","Editing Xtext Source"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Shift+Alt+Down","In Tasks View"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks View"
"Editing","Toggle Comment","Ctrl+/","Editing Xtext Source"
"Edit","Word Completion","Ctrl+Alt+/","Embedded Xtext Editor context"
"Window","Next View","Ctrl+F7","In Windows"
"Text Editing","Text End","Ctrl+End","Embedded Xtext Editor context"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","C/C++ Editor"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Embedded Xtext Editor context"
"Editing","Toggle Comment","Ctrl+7","Editing Xtext Source"
"Window","Quick Access","Ctrl+3","In Windows"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Embedded Xtext Editor context"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Embedded Xtext Editor context"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"C/C++ Source","Show Source Quick Menu","Shift+Alt+S","C/C++ Editor"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Text Editing","Select Line Start","Shift+Home","Embedded Xtext Editor context"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Window","Activate Editor","F12","In Windows"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Text Editing","Toggle Overwrite","Insert","Embedded Xtext Editor context"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"Git","Commit...","Ctrl+#","In Windows"
"Text Editing","Line End","End","Editing Text"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Text Editing","Next Word","Ctrl+Right","Embedded Xtext Editor context"
"Navigate","Matching Character","Shift+Ctrl+P","Editing in Structured Text Editors"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Uncategorized","Organize Imports","Shift+Ctrl+O","Editing Xtext Source"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Run/Debug","Debug","F11","In Windows"
"C/C++ Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"Text Editing","Line Start","Home","Editing Text"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Uncategorized","Insert left guillemet","<","Editing Xtend Source"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Text Editing","Scroll Line Down","Ctrl+Down","Embedded Xtext Editor context"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Embedded Xtext Editor context"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"Window","Show System Menu","Alt+-","In Windows"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Makefile Source","Comment","Ctrl+/","Makefile Editor"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Views","Show View ()","Shift+Alt+Q T","In Windows"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Editing","Select Enclosing Element","Shift+Alt+Up","Editing Xtext Source"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging C/C++"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Embedded Xtext Editor context"
